wind_speed,swr,a_seiche,par_id
1.0013,0.89233,0.00090225,p001
0.9031,1.221,0.0014463,p002
1.141,1.124,0.0022863,p003
1.5604,0.84168,0.0021665,p004
0.83322,1.0195,0.0017936,p005
1.3954,1.1851,0.0016315,p006
0.63538,1.01,0.0012706,p007
1.4981,1.0549,0.00088481,p008
0.80139,1.4314,0.0029261,p009
1.0389,1.2459,0.0017137,p010
0.95467,1.2573,0.0011789,p011
0.86167,0.88862,0.0018305,p012
1.4553,0.89815,0.00084383,p013
0.71806,1.2337,0.0018774,p014
0.92806,1.2196,0.0020885,p015
0.84172,1.1929,0.0022583,p016
1.062,0.83368,0.00080788,p017
1.2162,1.2393,0.0011727,p018
1.0097,1.313,0.0010754,p019
1.5554,0.98168,0.0028969,p020
1.1504,1.1326,0.0020272,p021
1.1181,0.98281,0.0019179,p022
1.3828,1.4034,0.002723,p023
1.3994,1.2902,0.0019781,p024
1.0199,1.1159,0.0016118,p025
1.0461,1.4862,0.0017813,p026
0.68343,1.1604,0.0025803,p027
1.2036,0.81221,0.0020725,p028
0.52594,1.3712,0.0024626,p029
0.66859,1.2785,0.00091778,p030
0.72349,1.0039,0.0017664,p031
0.51307,1.3476,0.0028347,p032
1.2829,1.1792,0.0014943,p033
1.5987,1.2742,0.0016835,p034
0.9719,0.91014,0.0014809,p035
0.9238,1.4702,0.0021523,p036
1.2722,1.0792,0.0025423,p037
0.58247,1.2045,0.0011414,p038
1.5389,1.3805,0.001879,p039
0.61211,1.0709,0.0026131,p040
0.8201,0.86254,0.0015298,p041
1.5866,0.81814,0.0021061,p042
1.0924,0.85358,0.0028844,p043
0.62502,1.0018,0.0012541,p044
1.432,0.94492,0.0023335,p045
0.88919,0.99248,0.002637,p046
1.52,1.3533,0.0022211,p047
0.73265,1.3822,0.0028052,p048
0.53933,0.86514,0.0010957,p049
0.57431,1.0453,0.0010069,p050
1.607,0.80503,0.0011292,p051
0.65496,1.3921,0.0015834,p052
1.4785,0.93854,0.0021334,p053
0.77787,1.2853,0.0015504,p054
1.4711,0.84668,0.0010366,p055
1.508,0.94728,0.0014103,p056
1.4198,0.97373,0.0028504,p057
0.89826,1.4148,0.0021877,p058
1.2981,1.2649,0.002536,p059
1.241,1.1649,0.0023688,p060
1.0812,0.82651,0.0024773,p061
0.60121,0.87768,0.0013525,p062
0.70531,1.138,0.0020058,p063
1.3736,1.4812,0.0027021,p064
1.4504,1.3249,0.0016618,p065
0.68763,0.96299,0.0029796,p066
0.50552,1.45,0.0026846,p067
1.3184,1.4516,0.0024153,p068
1.1644,0.87281,0.002956,p069
1.1933,1.1444,0.00093569,p070
1.1741,1.1744,0.0029594,p071
1.2667,1.3108,0.0016563,p072
0.96667,1.4285,0.0019589,p073
1.3571,0.92769,0.0018366,p074
1.1787,0.91966,0.0024385,p075
1.5334,1.0338,0.0023531,p076
0.7634,0.95646,0.0013193,p077
1.3142,1.2061,0.0025065,p078
0.94029,1.4939,0.0010511,p079
1.5784,1.0607,0.00085529,p080
1.2552,1.459,0.0013742,p081
0.79392,1.4756,0.0014241,p082
1.6391,1.0387,0.0022988,p083
1.124,1.099,0.0017307,p084
0.56452,1.4019,0.0025861,p085
0.75104,1.1082,0.0022485,p086
1.3505,0.91519,0.0027827,p087
0.77063,1.0893,0.0026613,p088
1.6206,1.0823,0.0012054,p089
0.64017,1.3003,0.0024038,p090
1.6343,1.1545,0.0027637,p091
1.0673,1.1061,0.0013053,p092
0.85184,1.2484,0.00099472,p093
0.99161,1.4191,0.0012199,p094
1.3311,1.3656,0.0020513,p095
1.1062,1.3376,0.0015162,p096
0.87776,1.4386,0.0019337,p097
1.429,1.0302,0.00097234,p098
0.54653,1.3401,0.0013323,p099
1.2263,1.3285,0.0027507,p100
