wind_speed,swr,turb_param/k_min,par_id
1.4482,1.3937,3.9833e-05,p001
0.95677,0.81287,3.6336e-05,p002
0.62601,0.92346,4.5894e-05,p003
1.3242,0.82147,3.5588e-05,p004
0.92112,1.1346,3.7146e-05,p005
1.1882,0.90601,3.4734e-05,p006
0.76732,1.4137,4.3521e-05,p007
0.93287,1.0896,3.4223e-05,p008
1.0949,1.4798,3.0094e-05,p009
0.63085,1.3852,3.7591e-05,p010
0.67105,1.1282,4.8081e-05,p011
0.82036,1.3549,3.6711e-05,p012
0.88706,1.4537,4.2494e-05,p013
0.93908,1.1145,2.3002e-05,p014
1.1358,1.466,4.793e-05,p015
1.2755,1.2633,2.9909e-05,p016
0.54398,1.0547,3.3076e-05,p017
0.65314,1.2243,4.4742e-05,p018
1.5854,1.403,3.2455e-05,p019
0.7019,1.3959,4.3234e-05,p020
0.57186,0.99482,3.8878e-05,p021
1.2982,1.3648,2.8903e-05,p022
0.59303,1.4956,4.2883e-05,p023
1.3454,1.2017,3.8985e-05,p024
0.80595,0.93756,3.3214e-05,p025
1.056,0.8821,2.7277e-05,p026
0.87057,1.3156,4.4918e-05,p027
1.4261,1.1927,2.7415e-05,p028
1.3782,1.1502,4.3925e-05,p029
0.89617,1.1488,4.1091e-05,p030
0.74904,1.0943,4.8309e-05,p031
1.0285,0.88721,2.1042e-05,p032
1.0853,0.8425,4.9083e-05,p033
0.55294,1.4764,3.9535e-05,p034
1.419,0.94522,3.2011e-05,p035
1.6165,1.1798,4.0645e-05,p036
1.528,1.0254,3.3802e-05,p037
0.56796,0.92808,2.2261e-05,p038
1.0641,1.2392,2.9134e-05,p039
1.0464,0.86881,4.7648e-05,p040
0.52248,0.80265,3.0815e-05,p041
1.5227,1.4421,4.6583e-05,p042
0.7576,1.4201,3.4347e-05,p043
0.77794,1.2565,4.5549e-05,p044
1.2049,1.1576,3.2181e-05,p045
1.65,0.95735,2.7763e-05,p046
1.5762,1.2514,4.7241e-05,p047
0.83069,0.97115,2.633e-05,p048
1.0359,1.3285,4.9252e-05,p049
0.67442,1.1731,4.0995e-05,p050
1.608,1.0827,2.3231e-05,p051
1.2534,1.2145,2.3761e-05,p052
1.4058,1.0381,4.3904e-05,p053
1.553,1.1014,4.0379e-05,p054
0.84899,1.0767,4.6422e-05,p055
1.1638,1.2886,4.2391e-05,p056
0.64934,1.0628,2.1669e-05,p057
0.72193,1.0678,2.5729e-05,p058
0.73202,1.0133,4.9426e-05,p059
1.1005,1.3004,2.4852e-05,p060
1.1517,1.0473,3.6377e-05,p061
0.85898,1.292,2.5187e-05,p062
0.50616,0.917,2.2553e-05,p063
1.3323,0.81763,2.4174e-05,p064
1.1678,1.1681,3.6052e-05,p065
0.99887,0.83524,3.531e-05,p066
1.0164,1.3241,4.1947e-05,p067
1.5457,0.98433,3.5103e-05,p068
1.468,1.1199,2.1959e-05,p069
1.4953,1.0096,4.4251e-05,p070
0.69132,1.2275,2.4292e-05,p071
0.79426,0.97828,3.7289e-05,p072
0.53116,1.0011,3.8387e-05,p073
0.83729,1.3757,2.358e-05,p074
0.58506,0.85724,2.1519e-05,p075
1.1924,1.1897,2.554e-05,p076
0.97531,0.87563,4.6933e-05,p077
0.91051,1.2782,3.3564e-05,p078
0.9868,1.4873,4.5131e-05,p079
1.242,1.4468,3.1478e-05,p080
0.60354,1.4582,2.8677e-05,p081
0.9626,1.3445,3.0353e-05,p082
1.5008,1.2716,2.6096e-05,p083
1.5959,1.4342,3.0941e-05,p084
0.7145,0.89315,2.9539e-05,p085
1.2684,0.82979,3.7998e-05,p086
1.564,1.3517,4.9906e-05,p087
1.4426,1.3067,3.1327e-05,p088
1.628,1.1394,4.1553e-05,p089
1.4883,0.96357,4.1704e-05,p090
1.1156,0.90478,2.8502e-05,p091
1.463,1.337,2.4544e-05,p092
1.2134,0.94726,4.8746e-05,p093
1.3654,1.0221,3.8529e-05,p094
1.3597,1.3674,2.6601e-05,p095
1.3157,1.4269,2.8074e-05,p096
1.2902,1.211,3.2828e-05,p097
1.1216,0.85472,2.6819e-05,p098
1.2276,1.0322,4.6076e-05,p099
1.393,1.2427,3.9887e-05,p100
