wind_speed,swr,mixing/coef_mix_hyp,par_id
1.9367,1.4019,1.7251,p001
1.1421,1.1542,0.24792,p002
0.56136,0.84359,0.40985,p003
0.89585,0.62463,1.0748,p004
1.8799,1.2094,1.8437,p005
0.51794,0.64903,1.8917,p006
1.0841,1.3153,1.581,p007
1.1091,0.80375,0.7923,p008
1.5834,0.52305,1.8549,p009
1.0086,1.1064,1.2978,p010
1.3934,1.4293,0.63107,p011
1.2322,0.98611,1.1447,p012
1.0324,1.0417,1.6868,p013
1.4507,0.73006,1.9477,p014
0.55812,1.287,0.50087,p015
1.3364,0.53584,1.6007,p016
0.68859,0.94398,1.87,p017
1.8365,0.51011,1.7843,p018
1.5529,1.4694,0.22562,p019
0.96182,0.56345,0.55439,p020
1.4997,0.8582,0.68965,p021
1.8176,1.225,1.5463,p022
1.5305,1.056,1.663,p023
1.4245,1.1149,0.12336,p024
1.9008,0.77443,1.2154,p025
0.93268,0.92433,1.0993,p026
1.3751,0.89829,0.91448,p027
1.4733,1.2185,0.68785,p028
1.664,1.0221,0.19054,p029
0.62028,1.0061,1.4444,p030
1.6504,1.363,1.7006,p031
1.7825,1.4337,0.34107,p032
1.3589,0.69867,1.2556,p033
1.2526,0.97793,1.6531,p034
0.65181,1.1911,1.9185,p035
0.99447,0.65381,0.6519,p036
1.5445,0.93573,1.6183,p037
1.8047,0.81419,1.99,p038
0.97907,0.72605,0.71533,p039
1.3032,0.5036,1.3967,p040
0.94671,1.2907,0.13805,p041
1.7152,1.4847,1.2735,p042
1.9861,1.3586,1.3632,p043
0.70509,1.0723,1.635,p044
0.78528,0.61734,0.84621,p045
0.84916,1.2758,0.89142,p046
1.4892,1.123,0.30121,p047
1.7137,1.2509,0.86912,p048
1.7484,1.2676,1.3865,p049
0.83792,1.1802,1.4863,p050
1.5669,0.66573,0.3533,p051
0.53219,1.4184,1.2322,p052
1.3154,0.67896,1.1988,p053
1.2432,1.2338,1.5196,p054
1.0241,1.0803,0.32196,p055
0.86911,1.339,0.47317,p056
1.6736,1.0672,1.8123,p057
1.9737,0.76957,0.52556,p058
1.8539,0.86795,1.7957,p059
0.63506,1.032,0.83277,p060
1.6233,0.71904,1.1205,p061
1.1598,1.0118,0.78386,p062
1.2788,1.3715,1.5319,p063
1.5057,0.96768,0.57449,p064
0.6177,0.90846,1.4193,p065
0.51165,0.88992,0.44408,p066
1.9199,0.95623,0.38895,p067
0.77138,0.60331,1.7389,p068
0.66962,1.4514,1.767,p069
1.8242,0.91281,0.15954,p070
0.72874,1.3082,0.11751,p071
0.82285,0.79201,1.4622,p072
1.1681,0.78964,1.3424,p073
1.1963,0.5565,1.1809,p074
1.0996,1.1379,0.36741,p075
0.58954,0.63896,1.9407,p076
1.1785,1.4783,0.48406,p077
1.0518,1.3915,0.43939,p078
1.6273,1.3423,1.0177,p079
1.2175,1.1616,0.9821,p080
1.608,1.3246,1.2883,p081
0.91164,1.3871,0.75234,p082
0.59931,1.4446,1.0685,p083
0.71851,0.75378,1.5003,p084
0.80947,1.0993,0.57664,p085
1.7384,0.83532,1.0084,p086
0.76144,0.70075,1.9716,p087
1.9609,0.58657,0.28426,p088
1.0672,1.1401,0.95159,p089
1.3522,0.5955,0.25287,p090
1.1276,0.74679,0.20117,p091
1.762,0.87935,0.92258,p092
1.4115,1.4907,0.63461,p093
1.4331,0.99579,1.3211,p094
0.88485,1.1757,0.73817,p095
0.7431,0.57491,0.60765,p096
1.9543,0.82074,1.1459,p097
1.6934,0.68245,0.80805,p098
1.8864,0.54075,1.0319,p099
1.2906,1.2435,0.97398,p100
