!datetime	Flow_metersCubedPerSecond	Water_Temperature_celsius	Salinity_practicalSalinityUnits
2006-05-30 20:00:00	1.9818	18.508493	0
2006-05-31 20:00:00	1.9818	21.537765	0
2006-06-01 20:00:00	1.9818	17.983635	0
2006-06-02 20:00:00	1.9818	15.037637	0
2006-06-03 20:00:00	1.9818	11.735204	0
2006-06-04 20:00:00	1.9818	12.711492	0
2006-06-05 20:00:00	1.9818	15.848006	0
2006-06-06 20:00:00	1.9818	13.506803	0
2006-06-07 20:00:00	16.43113	12.319187	0
2006-06-08 20:00:00	1.9989635	13.562568	0
2006-06-09 20:00:00	32.888554	11.805805	0
2006-06-10 20:00:00	19.137988	10.450592	0
2006-06-11 20:00:00	2.0505662	16.022131	0
2006-06-12 20:00:00	2.0333461	17.901663	0
2006-06-13 20:00:00	2.0333461	18.702367	0
2006-06-14 20:00:00	2.0161441	16.999503	0
2006-06-15 20:00:00	2.0161441	17.053232	0
2006-06-16 20:00:00	2.0161441	17.278093	0
2006-06-17 20:00:00	1.9989635	21.917799	0
2006-06-18 20:00:00	1.9989635	24.06194	0
2006-06-19 20:00:00	1.9989635	20.666845	0
2006-06-20 20:00:00	1.9989635	17.185286	0
2006-06-21 20:00:00	1.9989635	19.840795	0
2006-06-22 20:00:00	1.9989635	21.504719	0
2006-06-23 20:00:00	1.9989635	19.678049	0
2006-06-24 20:00:00	1.9989635	19.365724	0
2006-06-25 20:00:00	1.9989635	18.852857	0
2006-06-26 20:00:00	1.9989635	21.482127	0
2006-06-27 20:00:00	1.9989635	19.817095	0
2006-06-28 20:00:00	17.652889	19.880032	0
2006-06-29 20:00:00	2.0161441	19.502709	0
2006-06-30 20:00:00	2.0161441	17.316424	0
2006-07-01 20:00:00	1.9989635	20.916011	0
2006-07-02 20:00:00	1.9989635	20.663038	0
2006-07-03 20:00:00	1.9989635	21.227592	0
2006-07-04 20:00:00	1.9989635	20.803466	0
2006-07-05 20:00:00	1.9989635	18.201629	0
2006-07-06 20:00:00	1.9989635	17.80697	0
2006-07-07 20:00:00	1.9818	20.487665	0
2006-07-08 20:00:00	1.9818	20.508806	0
2006-07-09 20:00:00	1.9818	20.908944	0
2006-07-10 20:00:00	1.9818	21.017563	0
2006-07-11 20:00:00	1.9818	21.268859	0
2006-07-12 20:00:00	15.024427	18.587164	0
2006-07-13 20:00:00	19.021899	20.648538	0
2006-07-14 20:00:00	2.0161441	23.384011	0
2006-07-15 20:00:00	1.9989635	23.445956	0
